region_code,metric,year,value,ci_lower,ci_upper,ci_width,cv
E12000004,unemployment_rate_pct,2043,-7.908996418539993,-14.788674330545124,-1.029318506534863,13.75935582401026,-0.8698547259267977
E12000004,unemployment_rate_pct,2044,-8.598995981237966,-15.667193124018098,-1.5307988384578328,14.136394285560264,-0.8219793517989934
E12000004,unemployment_rate_pct,2045,-9.288995543935949,-16.540812800698504,-2.0371782871733926,14.50363451352511,-0.7806890661603012
E12000004,unemployment_rate_pct,2046,-9.97899510663392,-17.40989654601213,-2.548093667255711,14.861802878756421,-0.7446542823172879
E12000004,unemployment_rate_pct,2047,-10.668994669331896,-18.27476477353746,-3.0632245651263323,15.211540208411126,-0.7128853598613565
E12000004,unemployment_rate_pct,2048,-11.358994232029865,-19.135701861502703,-3.5822866025570255,15.553415258945677,-0.6846299479177684
E12000004,unemployment_rate_pct,2049,-12.04899379472784,-19.99296158359601,-4.1050260058596715,15.88793557773634,-0.659305492575167
E12000004,unemployment_rate_pct,2050,-12.738993357425816,-20.846771530689374,-4.631215184162256,16.215556346527116,-0.6364535992584823
E12000005,emp_total_jobs,2025,2827118.913072782,2790071.409315016,2864529.040900438,74457.63158542197,0.013168464764804379
E12000005,emp_total_jobs,2026,2973365.3823692673,2918439.2314295927,3029188.526782547,110749.29535295442,0.01862355968924109
E12000005,emp_total_jobs,2027,3151363.0461181966,3080229.7770394003,3223993.499580272,143763.7225408717,0.022809768414013387
E12000005,emp_total_jobs,2028,3350612.7250272813,3263446.677107374,3439951.6819789815,176505.0048716073,0.026339213056944706
E12000005,emp_total_jobs,2029,3567554.4783898355,3463959.7652425766,3674081.492476178,210121.72723360127,0.029448986484494653
E12000005,emp_total_jobs,2030,3809154.0802228684,3688163.927575542,3933935.73446969,245771.80689414777,0.03226068068107237
E12000005,emp_total_jobs,2031,4093523.5387870464,3953270.726205847,4238560.864568332,285290.138362485,0.03484652471877802
E12000005,emp_total_jobs,2032,4448506.548510156,4285769.243982269,4617214.819355083,331445.57537281327,0.03725357844913338
E12000005,emp_total_jobs,2033,4910321.480808771,4720013.693031196,5108071.772169948,388058.0791387521,0.03951452879973509
E12000005,emp_total_jobs,2034,5524309.203438081,5298869.843287121,5759079.870780314,460210.02749319375,0.04165317422916695
E12000005,emp_total_jobs,2035,6349373.798946825,6077898.799107221,6632675.082444062,554776.2833368415,0.04368748012826577
E12000005,emp_total_jobs,2036,7467833.429865275,7134668.15317372,7816203.592891121,681535.4397174008,0.04563140341292376
E12000005,emp_total_jobs,2037,9003684.121978901,8585991.64413754,9441270.379910624,855278.7357730828,0.047496042963416564
E12000005,emp_total_jobs,2038,11155292.12353699,10618734.791196281,11718432.356035328,1099697.5648390464,0.049290397448165046
E12000005,emp_total_jobs,2039,11011742.963416303,10463978.647530599,11587658.366332557,1123679.7188019585,0.051021882845208824
E12000005,emp_total_jobs,2040,12571317.209717736,11926009.7943921,13250943.574846564,1324933.7804544643,0.052696696708531034
E12000005,emp_total_jobs,2041,14670526.185769623,13894919.402799126,15488727.751512732,1593808.3487136066,0.0543200812476514
