region_code,region_name,region_level,metric_id,period,value,unit,freq,source,vintage,geo_hierarchy,metric,year,region,data_type,ci_lower,ci_upper,method,quality_metrics,itl1_code
TLD3,Greater Manchester,ITL2,population_total,1997.0,2521923.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1997,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,1998.0,2521915.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1998,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,1999.0,2515488.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1999,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,2000.0,2516339.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2000,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,2001.0,2516096.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2001,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,2002.0,2523214.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2002,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,2003.0,2538555.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2003,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,2004.0,2549752.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2004,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,2005.0,2564055.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2005,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,2006.0,2582260.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2006,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,2007.0,2598619.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2007,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,2008.0,2620007.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2008,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,2009.0,2639833.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2009,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,2010.0,2661841.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2010,Greater Manchester,historical,,,,,E12000002
